STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-11,0,",,E",,,43,"H,,S",57,",,E",31,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-12,0,",,E",,,45,"H,,S",59,",,E",33,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-13,0.1,",,E",,,52,"H,,S",59,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-14,0.82,",,E",,,49,"H,,S",52,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-15,0.44,",,E",,,48,"H,,S",53,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-16,0.08,",,E",,,48,"H,,S",56,",,E",43,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-17,0,",,E",,,47,"H,,S",54,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-18,0,",,E",,,44,"H,,S",56,",,E",34,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-19,0,",,E",,,45,"H,,S",58,",,E",34,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-20,0.02,",,E",,,45,"H,,S",56,",,E",34,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-21,0.78,",,E",,,48,"H,,S",55,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-22,0,",,E",,,45,"H,,S",51,",,E",41,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-23,0,",,E",,,46,"H,,S",57,",,E",38,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-24,0,",,E",,,48,"H,,S",53,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-25,0,",,E",,,49,"H,,S",55,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-26,0.07,",,E",,,46,"H,,S",58,",,E",30,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-27,0.13,",,E",,,47,"H,,S",53,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-02-28,0,",,E",,,46,"H,,S",54,",,E",41,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-01,0.18,",,E",,,46,"H,,S",53,",,E",36,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-02,0,",,E",,,53,"H,,S",62,",,E",47,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-03,0,",,E",,,52,"H,,S",61,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-04,0,",,E",,,48,"H,,S",53,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-05,0,",,E",,,48,"H,,S",55,",,E",43,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-06,0,",,E",,,46,"H,,S",58,",,E",32,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-07,0,",,E",,,46,"H,,S",59,",,E",33,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-08,0,",,E",,,48,"H,,S",59,",,E",37,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-09,0,",,E",,,49,"H,,S",60,",,E",38,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-10,0,",,E",,,50,"H,,S",62,",,E",40,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-11,0,",,E",,,55,"H,,S",68,",,E",42,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-12,0.01,",,E",,,53,"H,,S",63,",,E",40,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-13,0,",,E",,,51,"H,,S",62,",,E",39,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-14,0.25,",,E",,,51,"H,,S",58,",,E",47,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-15,0.12,",,E",,,49,"H,,S",51,",,E",47,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-16,0.53,",,E",,,51,"H,,S",57,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-17,0.03,",,E",,,52,"H,,S",57,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-18,0,",,E",,,55,"H,,S",64,",,E",47,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-19,0,",,E",,,53,"H,,S",64,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-20,0,",,E",,,55,"H,,S",65,",,E",46,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-21,0.53,",,E",,,55,"H,,S",58,",,E",52,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-22,0.07,",,E",,,50,"H,,S",53,",,E",48,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-23,0,",,E",,,52,"H,,S",63,",,E",41,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-24,0.3,",,E",,,54,"H,,S",63,",,E",44,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-25,0.15,",,E",,,49,"H,,S",52,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-26,0,",,E",,,51,"H,,S",58,",,E",45,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-27,0,",,E",,,56,"H,,S",62,",,E",51,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-28,0,",,E",,,57,"H,,S",67,",,E",50,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-29,0,",,E",,,59,"H,,S",67,",,E",52,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-30,0,",,E",,,62,"H,,S",71,",,E",55,",,E"
FR000007650,"MARSEILLES MARIGNANE, FR",43.4378,5.2158,9,2015-03-31,0,",,E",,,61,"H,,S",68,",,E",54,",,E"
