STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-13,0.02,",,E",,,45,"H,,S",54,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-14,0.01,",,E",,,48,"H,,S",52,",,E",46,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-15,0.19,",,E",,,44,"H,,S",48,",,E",42,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-16,0,",,E",,,40,"H,,S",40,",,E",37,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-17,0,",,E",,,40,"H,,S",40,",,E",38,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-18,0,",,E",,,38,"H,,S",38,",,E",36,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-19,0,",,E",,,42,"H,,S",55,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-20,0.04,",,E",,,44,"H,,S",53,",,E",38,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-21,1.23,",,E",,,40,"H,,S",45,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-22,0,",,E",,,38,"H,,S",42,",,E",32,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-23,0.06,",,E",,,39,"H,,S",48,",,E",31,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-24,0.11,",,E",,,41,"H,,S",45,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-25,0,",,E",,,44,"H,,S",48,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-26,0.27,",,E",,,40,"H,,S",47,",,E",32,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-27,0.29,",,E",,,42,"H,,S",44,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-02-28,0.07,",,E",,,39,"H,,S",47,",,E",31,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-01,0.13,",,E",,,45,"H,,S",52,",,E",37,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-02,0.06,",,E",,,53,"H,,S",59,",,E",49,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-03,0.12,",,E",,,47,"H,,S",57,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-04,0.02,",,E",,,43,"H,,S",46,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-05,0,",,E",,,42,"H,,S",47,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-06,0,",,E",,,45,"H,,S",53,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-07,0,",,E",0.4,",,S",42,"H,,S",55,",,E",31,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-08,0,",,E",0.4,",,S",44,"H,,S",58,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-09,0,",,E",,,47,"H,,S",60,",,E",37,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-10,0,",,E",,,49,"H,,S",60,",,E",36,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-11,0,",,E",,,53,"H,,S",60,",,E",46,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-12,0,",,E",,,46,"H,,S",56,",,E",34,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-13,0.02,",,E",0.4,",,S",45,"H,,S",55,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-14,0.03,",,E",,,46,"H,,S",48,",,E",42,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-15,0,",,E",,,45,"H,,S",49,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-16,0,",,E",,,50,"H,,S",61,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-17,0,",,E",,,50,"H,,S",62,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-18,0,",,E",,,55,"H,,S",65,",,E",44,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-19,0.01,",,E",,,52,"H,,S",62,",,E",43,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-20,0.1,",,E",,,50,"H,,S",56,",,E",44,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-21,0.19,",,E",,,49,"H,,S",53,",,E",48,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-22,0.02,",,E",,,44,"H,,S",46,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-23,0,",,E",1.2,",,S",47,"H,,S",62,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-24,0.57,",,E",1.2,",,S",53,"H,,S",63,",,E",45,",I,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-25,0.26,",,E",,,43,"H,,S",42,",I,E",38,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-26,0,",,E",,,47,"H,,S",52,",,E",41,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-27,0,",,E",,,50,"H,,S",56,",,E",44,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-28,0.02,",,E",,,46,"H,,S",53,",,E",36,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-29,0.3,",,E",,,52,"H,,S",58,",,E",43,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-30,0.1,",,E",,,55,"H,,S",62,",,E",51,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-03-31,0,",,E",,,58,"H,,S",65,",,E",53,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-01,0,",,E",,,48,"H,,S",53,",,E",42,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-02,0.02,",,E",,,46,"H,,S",50,",,E",39,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-03,0.01,",,E",,,53,"H,,S",58,",,E",44,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-04,0.17,",,E",,,49,"H,,S",54,",,E",46,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-05,0,",,E",,,45,"H,,S",51,",,E",38,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-06,0,",,E",,,46,"H,,S",56,",,E",33,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-07,0,",,E",,,48,"H,,S",59,",,E",35,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-08,0,",,E",,,,,62,",,E",36,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-09,0,",,E",,,,,72,",,E",40,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-10,0,",,E",,,,,70,",,E",49,",,E"
FR069029001,"LYON ST EXUPERY, FR",45.7264,5.0778,235,2015-04-11,0.02,",,E",,,,,68,",,E",47,",,E"
