"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-14","0.29",",,E",,,"44","H,,S","49",",,E","42",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-15","0.00",",,E",,,"43","H,,S","47",",,E","41",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-16","0.00",",,E",,,"39","H,,S","43",",,E","33",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-17","0.00",",,E",,,"42","H,,S","44",",,E","37",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-18","0.00",",,E",,,"37","H,,S","43",",,E","33",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-19","0.01",",,E",,,"38","H,,S","45",",,E","31",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-20","0.46",",,E",,,"44","H,,S","47",",,E","41",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-21","0.06",",,E",,,"38","H,,S","45",",,E","34",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-22","0.24",",,E",,,"38","H,,S","48",",,E","26",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-23","0.20",",,E",,,"44","H,,S","53",",,E","39",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-24","0.01",",,E",,,"40","H,,S","48",",,E","35",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-25","0.08",",,E",,,"41","H,,S","46",",,E","35",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-26","0.17",",,E",,,"47","H,,S","52",",,E","40",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-27","0.00",",,E",,,"42","H,,S","49",",,E","39",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-02-28","0.14",",,E",,,"41","H,,S","50",",,E","31",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-01","0.12",",,E",,,"50","H,,S","54",",,E","45",",,E"
"FRM00007149","ORLY, FR","48.7167","2.3842","89.0","2015-03-02","0.02",",,E",,,"46","H,,S","52",",,E","43",",,E"
