date,windspeedKmph,winddirdegree,WindGustKmph
5/27/2019,19,274,30
5/27/2019,19,274,30
5/27/2019,19,274,30
5/28/2019,19,272,31
5/28/2019,20,264,36
5/28/2019,18,263,32
5/28/2019,18,263,32
5/28/2019,18,263,32
5/28/2019,18,263,32
5/28/2019,16,262,28
5/28/2019,9,259,12
5/28/2019,11,265,14
5/28/2019,11,265,14
5/28/2019,11,265,14
5/28/2019,11,265,14
5/28/2019,12,272,16
5/28/2019,18,297,23
5/28/2019,18,288,23
5/28/2019,18,288,23
5/28/2019,18,288,23
5/28/2019,18,288,23
5/28/2019,17,280,22
5/28/2019,15,244,21
5/28/2019,14,252,19
5/28/2019,14,252,19
5/28/2019,14,252,19
5/28/2019,14,252,19
5/29/2019,13,260,18
5/29/2019,8,292,13
5/29/2019,9,285,14
5/29/2019,9,285,14
5/29/2019,9,285,14
5/29/2019,9,285,14
5/29/2019,11,278,16
5/29/2019,16,250,22
5/29/2019,17,255,23
5/29/2019,17,255,23
5/29/2019,17,255,23
5/29/2019,17,255,23
5/29/2019,18,260,24
5/29/2019,23,280,29
5/29/2019,23,274,29
5/29/2019,23,274,29
5/29/2019,23,274,29
5/29/2019,23,274,29
5/29/2019,22,269,28
5/29/2019,19,249,28
5/29/2019,18,257,28
5/29/2019,18,257,28
5/29/2019,18,257,28
5/29/2019,18,257,28
5/30/2019,18,265,27
5/30/2019,16,297,25
5/30/2019,16,291,25
5/30/2019,16,291,25
5/30/2019,16,291,25
5/30/2019,16,291,25
5/30/2019,16,285,25
5/30/2019,17,261,25
5/30/2019,17,268,24
5/30/2019,17,268,24
5/30/2019,17,268,24
5/30/2019,17,268,24
5/30/2019,17,274,23
5/30/2019,16,300,19
5/30/2019,16,305,18
5/30/2019,16,305,18
5/30/2019,16,305,18
5/30/2019,16,305,18
5/30/2019,15,310,18
5/30/2019,14,329,17
5/30/2019,13,321,16
5/30/2019,13,321,16
5/30/2019,13,321,16
5/30/2019,13,321,16
5/31/2019,12,314,14
5/31/2019,7,286,9
5/31/2019,7,253,9
5/31/2019,7,253,9
5/31/2019,7,253,9
5/31/2019,7,253,9
5/31/2019,8,221,9
5/31/2019,9,91,10
5/31/2019,9,119,11
5/31/2019,9,119,11
5/31/2019,9,119,11
5/31/2019,9,119,11
5/31/2019,10,146,12
5/31/2019,13,256,15
5/31/2019,13,233,15
5/31/2019,13,233,15
5/31/2019,13,233,15
5/31/2019,13,233,15
5/31/2019,13,210,15
5/31/2019,11,119,15
5/31/2019,11,139,15
5/31/2019,11,139,15
5/31/2019,11,139,15
5/31/2019,11,139,15
6/1/2019,11,159,16
6/1/2019,11,241,18
6/1/2019,11,220,18
6/1/2019,11,220,18
6/1/2019,11,220,18
6/1/2019,11,220,18
6/1/2019,11,200,17
6/1/2019,11,117,14
6/1/2019,12,135,15
6/1/2019,12,135,15
6/1/2019,12,135,15
6/1/2019,12,135,15
6/1/2019,14,152,17
6/1/2019,19,222,22
6/1/2019,19,233,23
6/1/2019,19,233,23
6/1/2019,19,233,23
6/1/2019,19,233,23
6/1/2019,18,244,23
6/1/2019,17,287,24
6/1/2019,16,276,24
6/1/2019,16,276,24
6/1/2019,16,276,24
6/1/2019,16,276,24
